STUDENT,YEAR,COURSE,SCHOOL YR,SEMESTER,LECTURE DAYS,LECTURE HRS,DISCUSSION DAY,DISCUSSION HR,PS 1,PS 2,PS 3,LE1,LE2,LE3,LE4,Fi0l Grade,Numerical,,,,,,,,,,
111,2022,BS Arch,2023-2024,2nd,"T,Th",8:30-10:00,F,8:45-9:45,29,13,15,9,11,8,13,46.07,4,,,,,,,,,,
112,2022,BS Arch,2023-2024,2nd,"T,Th",8:30-10:00,F,8:45-9:45,30,25,29,12,9,9,16,53.06,3,,,,,,,,,,
113,2023,BS Math,2023-2024,2nd,"T,Th",8:30-10:00,F,8:45-9:45,30,24,25,13,18,11,20,65.19,2.25,,,,,,,,,,
114,2023,BS Math,2023-2024,2nd,"T,Th",8:30-10:00,F,8:45-9:45,30,30,29,19,20,14,24,77.50,1.75,,,,,,,,,,
115,2023,BS Math,2023-2024,2nd,"T,Th",8:30-10:00,F,8:45-9:45,30,23,29,11,15,14,0,58.33,2.75,,,,,,,,,,
116,2023,BS Math,2023-2024,2nd,"T,Th",8:30-10:00,F,8:45-9:45,30,25,21,13,9,12,12,54.32,3,,,,,,,,,,
117,2023,BS Math,2023-2024,2nd,"T,Th",8:30-10:00,F,8:45-9:45,30,30,29,18,18,16,0,68.33,2.25,,,,,,,,,,
118,2023,BS Math,2023-2024,2nd,"T,Th",8:30-10:00,F,8:45-9:45,30,23,26,24,25,19,0,81.67,1.5,,,,,,,,,,
119,2023,BS CE,2023-2024,2nd,"T,Th",8:30-10:00,F,8:45-9:45,30,30,30,10,13,10,11,51.67,3,,,,,,,,,,
120,2023,BS Math,2023-2024,2nd,"T,Th",8:30-10:00,F,8:45-9:45,27,23,23,15,15,18,22,69.33,2.25,,,,,,,,,,
121,2023,BS CS,2023-2024,2nd,"T,Th",8:30-10:00,F,8:45-9:45,30,15,18,16,15,15,17,56.40,2.75,,,,,,,,,,
122,2023,BS Math,2023-2024,2nd,"T,Th",8:30-10:00,F,8:45-9:45,30,17,18,11,15,5,12,52.64,3,,,,,,,,,,
123,2022,BS Arch,2023-2024,2nd,"T,Th",8:30-10:00,F,8:45-9:45,30,30,30,8,12,10,13,53.33,3,,,,,,,,,,
124,2023,BS Math,2023-2024,2nd,"T,Th",8:30-10:00,F,8:45-9:45,30,30,27,28,29,28,0,95.83,1,,,,,,,,,,
125,2022,BS Arch,2023-2024,2nd,"T,Th",8:30-10:00,F,8:45-9:45,30,30,29,10,11,13,0,51.80,3,,,,,,,,,,
126,2023,BS Math,2023-2024,2nd,"T,Th",8:30-10:00,F,8:45-9:45,30,25,23,20,20,16,18,71.76,2,,,,,,,,,,
127,2023,BS ECE,2023-2024,1st,"W,F",8:30-10:00,T,8:45-9:45,27,30,29,14,17,8,10,58.72,2.75,,,,,,,,,,
128,2023,BS ECE,2023-2024,1st,"W,F",8:30-10:00,T,8:45-9:45,29,30,30,18,14,11,0,60.66,2.5,,,,,,,,,,
129,2023,BS ECE,2023-2024,1st,"W,F",8:30-10:00,T,8:45-9:45,30,30,29,12,8,8,2,48.22,4,,,,,,,,,,
130,2023,BS ECE,2023-2024,1st,"W,F",8:30-10:00,T,8:45-9:45,30,30,28,17,13,13,11,60.61,2.5,,,,,,,,,,
131,2023,BS ECE,2023-2024,1st,"W,F",8:30-10:00,T,8:45-9:45,17,28,25,16,16,17,0,63.61,2.5,,,,,,,,,,
132,2023,BS ECE,2023-2024,1st,"W,F",8:30-10:00,T,8:45-9:45,17,28,28,13,8,7,13,51.31,3,,,,,,,,,,
133,2023,BS ECE,2023-2024,1st,"W,F",8:30-10:00,T,8:45-9:45,30,30,29,13,11,12,10,54.89,3,,,,,,,,,,
134,2023,BS ECE,2023-2024,1st,"W,F",8:30-10:00,T,8:45-9:45,27,30,29,12,13,8,11,54.56,3,,,,,,,,,,
135,2023,BS ECE,2023-2024,1st,"W,F",8:30-10:00,T,8:45-9:45,30,30,28,14,17,9,11,59.78,2.75,,,,,,,,,,
136,2023,BS ECE,2023-2024,1st,"W,F",8:30-10:00,T,8:45-9:45,30,30,28,15,9,10,10,53.94,3,,,,,,,,,,
137,2023,BS ECE,2023-2024,1st,"W,F",8:30-10:00,T,8:45-9:45,29,26,23,18,17,12,16,66.17,2.25,,,,,,,,,,
138,2023,BS ECE,2023-2024,1st,"W,F",8:30-10:00,T,8:45-9:45,24,26,30,19,14,12,14,61.72,2.5,,,,,,,,,,
139,2023,BS ECE,2023-2024,1st,"W,F",8:30-10:00,T,8:45-9:45,27,29,30,11,12,8,12,53.72,3,,,,,,,,,,
140,2023,BS ECE,2023-2024,1st,"W,F",8:30-10:00,T,8:45-9:45,22,30,29,14,14,13,13,58.17,2.75,,,,,,,,,,
141,2023,BS ECE,2023-2024,1st,"W,F",8:30-10:00,T,8:45-9:45,30,30,29,23,24,25,28,89.06,1.25,,,,,,,,,,
142,2023,BS ECE,2023-2024,1st,"W,F",8:30-10:00,T,8:45-9:45,28,30,29,21,21,20,0,76.33,1.75,,,,,,,,,,
143,2023,BS ECE,2023-2024,1st,"W,F",8:30-10:00,T,8:45-9:45,23,24,19,18,14,8,11,58.17,2.75,,,,,,,,,,
144,2023,BS ECE,2023-2024,1st,"W,F",8:30-10:00,T,8:45-9:45,30,30,30,19,16,16,0,67.5,2.25,,,,,,,,,,
145,2023,BS ECE,2023-2024,1st,"W,F",8:30-10:00,T,8:45-9:45,30,30,30,19,13,13,14,63.33,2.5,,,,,,,,,,
146,2023,BS ECE,2023-2024,1st,"W,F",8:30-10:00,T,8:45-9:45,29,30,28,12,12,7,14,56.33,2.75,,,,,,,,,,
147,2023,BS ECE,2023-2024,1st,"W,F",8:30-10:00,T,8:45-9:45,30,30,25,19,18,18,17,70.28,2,,,,,,,,,,
148,2023,BS ECE,2023-2024,1st,"W,F",8:30-10:00,T,8:45-9:45,30,29,28,0,13,10,7,49.67,4,,,,,,,,,,
149,2023,BS ECE,2023-2024,1st,"W,F",8:30-10:00,T,8:45-9:45,28,30,28,26,26,24,28,91.22,1,,,,,,,,,,
150,2023,BS ECE,2023-2024,1st,"W,F",8:30-10:00,T,8:45-9:45,29,28,22,15,15,11,16,62.11,2.5,,,,,,,,,,
151,2023,BS ECE,2023-2024,1st,"W,F",8:30-10:00,T,8:45-9:45,26,29,30,19,17,17,0,68.61,2.25,,,,,,,,,,
152,2023,BS ECE,2023-2024,1st,"W,F",8:30-10:00,T,8:45-9:45,29,29,24,17,14,11,16,60.34,2.5,,,,,,,,,,
153,2023,BS ECE,2023-2024,1st,"W,F",8:30-10:00,T,8:45-9:45,30,30,30,20,15,11,0,62.75,2.5,,,,,,,,,,
154,2023,BS ECE,2023-2024,1st,"W,F",8:30-10:00,T,8:45-9:45,27,30,28,15,14,13,10,59.44,2.75,,,,,,,,,,
155,2023,BS ECE,2023-2024,1st,"W,F",8:30-10:00,T,8:45-9:45,30,29,29,13,13,15,13,58.94,2.75,,,,,,,,,,
156,2023,BS CS,2023-2024,2nd,"T,H",8:30-10:00,F,8:45-9:45,30,28,25,30,17,25,28,93.39,1,,,,,,,,,,
157,2023,BS CS,2023-2024,2nd,"T,H",8:30-10:00,F,8:45-9:45,18,0,17,14,14,11,8,51.39,3,,,,,,,,,,
158,2023,BS CS,2023-2024,2nd,"T,H",8:30-10:00,F,8:45-9:45,29,30,28,15,18,14,0,63.83,2.5,,,,,,,,,,
159,2023,BS CS,2023-2024,2nd,"T,H",8:30-10:00,F,8:45-9:45,29,30,30,6,7,11,10,48.22,4,,,,,,,,,,
160,2023,BS EM,2023-2024,2nd,"T,H",8:30-10:00,F,8:45-9:45,30,27,23,7,10,9,14,51.39,3,,,,,,,,,,
161,2022,BS Geol,2023-2024,2nd,"T,H",8:30-10:00,F,8:45-9:45,29,29,25,24,16,16,19,73.39,2,,,,,,,,,,
162,2023,BS CS,2023-2024,2nd,"T,H",8:30-10:00,F,8:45-9:45,29,27,24,21,26,17,0,77.22,1.75,,,,,,,,,,
163,2023,BS MBB,2023-2024,2nd,"T,H",8:30-10:00,F,8:45-9:45,19,20,17,16,11,16,15,60.39,2.5,,,,,,,,,,
164,2022,BS CS,2023-2024,2nd,"T,H",8:30-10:00,F,8:45-9:45,24,16,17,19,16,22,22,73.83,2,,,,,,,,,,
165,2021,NON-MAJ,2023-2024,2nd,"T,H",8:30-10:00,F,8:45-9:45,26,0,0,12,0,0,0,26.44,DRP,,,,,,,,,,
166,2022,BS Arch,2023-2024,2nd,"T,H",8:30-10:00,F,8:45-9:45,29,30,30,11,10,12,13,54.89,3,,,,,,,,,,
167,2022,BS CS,2023-2024,2nd,"T,H",8:30-10:00,F,8:45-9:45,30,27,17,27,18,22,20,80.72,1.5,,,,,,,,,,
168,2023,BS MetE,2023-2024,2nd,"T,H",8:30-10:00,F,8:45-9:45,22,19,11,18,20,18,0,67.44,2.25,,,,,,,,,,
169,2022,BS ECE,2023-2024,2nd,"T,H",8:30-10:00,F,8:45-9:45,21,21,24,8,13,11,10,50.67,3,,,,,,,,,,
170,2023,BS CS,2023-2024,2nd,"T,H",8:30-10:00,F,8:45-9:45,22,16,22,14,12,10,14,49.56,4,,,,,,,,,,
171,2023,BS CS,2023-2024,2nd,"T,H",8:30-10:00,F,8:45-9:45,29,29,29,15,11,12,20,63.83,2.5,,,,,,,,,,
172,2023,BS Geol,2023-2024,2nd,"T,H",8:30-10:00,F,8:45-9:45,29,26,23,21,18,12,19,72,2,,,,,,,,,,
173,2022,BS ECE,2023-2024,2nd,"T,H",8:30-10:00,F,8:45-9:45,30,30,0,9,9,9,7,44.17,5,,,,,,,,,,
174,2023,BS GE,2023-2024,2nd,"T,H",8:30-10:00,F,8:45-9:45,22,20,19,13,17,16,18,64.28,2.5,,,,,,,,,,
175,2023,NON-MAJ,2023-2024,2nd,"T,H",8:30-10:00,F,8:45-9:45,23,22,20,18,11,9,13,57.22,2.75,,,,,,,,,,
176,2023,BS CS,2023-2024,2nd,"T,H",8:30-10:00,F,8:45-9:45,29,30,28,25,21,16,19,78.83,1.75,,,,,,,,,,
177,2022,BS Geol,2023-2024,2nd,"T,H",8:30-10:00,F,8:45-9:45,30,27,29,19,14,12,15,64.56,2.5,,,,,,,,,,
178,2023,BS CS,2023-2024,2nd,"T,H",8:30-10:00,F,8:45-9:45,10,14,10,14,17,12,17,58.78,2.75,,,,,,,,,,
